seqn,household_income,gender,age,education_level,household_size
76773," 5,000 to  9,999",Male,60,High School Grad/GED or equivalent,1
76777,"75,000 to 99,999",Male,29,Some College or AA degree,4
76778,"75,000 to 99,999",Male,18,High School Grad/GED or equivalent,4
76779,"20,000 to 24,999",Female,71,<9th Grade,3
76785,,Male,22,,6
76789,"75,000 to 99,999",Female,71,College Graduate or above,2
76792,"35,000 to 44,999",Female,38,High School Grad/GED or equivalent,6
76793,"45,000 to 54,999",Female,45,Some College or AA degree,4
76796,"45,000 to 54,999",Female,42,Some College or AA degree,5
76797,"10,000 to 14,999",Female,60,College Graduate or above,2
76799,Refused,Male,36,High School Grad/GED or equivalent,4
76800,"10,000 to 14,999",Male,18,9th-11th Grade,4
76802,"15,000 to 19,999",Male,57,<9th Grade,4
76805,"45,000 to 54,999",Female,56,Some College or AA degree,2
76807,"45,000 to 54,999",Female,72,9th-11th Grade,4
76809,"45,000 to 54,999",Male,80,Some College or AA degree,2
76810,"20,000 and Over",Female,54,High School Grad/GED or equivalent,3
76811,"45,000 to 54,999",Female,27,9th-11th Grade,5
76813,"20,000 to 24,999",Female,31,High School Grad/GED or equivalent,4
76814,"100,000 and Over",Male,62,Some College or AA degree,5
76815,Refused,Male,44,9th-11th Grade,3
76816," 5,000 to  9,999",Female,30,<9th Grade,5
76817,"45,000 to 54,999",Male,54,9th-11th Grade,2
76818,"45,000 to 54,999",Male,80,Some College or AA degree,2
76819,"100,000 and Over",Female,54,College Graduate or above,4
76820,"10,000 to 14,999",Male,46,9th-11th Grade,2
76821,"75,000 to 99,999",Male,18,Some College or AA degree,3
76824,"10,000 to 14,999",Female,57,High School Grad/GED or equivalent,1
76825,"25,000 to 34,999",Male,28,9th-11th Grade,6
76826,"100,000 and Over",Male,23,College Graduate or above,5
76827,"10,000 to 14,999",Female,72,<9th Grade,5
76828,"20,000 to 24,999",Female,40,,3
76831,"35,000 to 44,999",Female,80,9th-11th Grade,3
76835,"10,000 to 14,999",Female,40,High School Grad/GED or equivalent,1
76837,"100,000 and Over",Male,40,9th-11th Grade,5
76840,"10,000 to 14,999",Female,61,High School Grad/GED or equivalent,1
76842,"75,000 to 99,999",Male,62,High School Grad/GED or equivalent,2
76843,"15,000 to 19,999",Male,59,9th-11th Grade,5
76846,"45,000 to 54,999",Female,26,High School Grad/GED or equivalent,5
76847,"100,000 and Over",Female,35,,3
76848,"15,000 to 19,999",Female,31,Some College or AA degree,2
76849,"20,000 to 24,999",Male,79,<9th Grade,2
76851,,Female,73,Some College or AA degree,4
76853,"100,000 and Over",Male,80,Some College or AA degree,2
76854,"100,000 and Over",Male,36,Some College or AA degree,5
76856,"25,000 to 34,999",Male,20,Some College or AA degree,3
76859,"100,000 and Over",Male,32,High School Grad/GED or equivalent,7
76860,"35,000 to 44,999",Female,60,Some College or AA degree,1
76863,"100,000 and Over",Female,39,College Graduate or above,2
76864,"20,000 to 24,999",Female,80,High School Grad/GED or equivalent,1
76865,"20,000 and Over",Male,18,College Graduate or above,3
76867,"55,000 to 64,999",Male,51,Some College or AA degree,1
76868,"25,000 to 34,999",Male,55,Some College or AA degree,1
76870,"15,000 to 19,999",Female,80,Some College or AA degree,4
76871,"55,000 to 64,999",Female,70,College Graduate or above,2
76872,"35,000 to 44,999",Male,66,Some College or AA degree,3
76877,"20,000 and Over",Female,52,9th-11th Grade,5
76878,"35,000 to 44,999",Male,30,Some College or AA degree,1
76880,"75,000 to 99,999",Female,62,Some College or AA degree,2
76882,"25,000 to 34,999",Female,33,Some College or AA degree,1
76884,"100,000 and Over",Female,55,College Graduate or above,4
76885,"100,000 and Over",Male,51,College Graduate or above,4
76886,"20,000 and Over",Male,54,Some College or AA degree,4
76888,"55,000 to 64,999",Male,80,Some College or AA degree,2
76889,"75,000 to 99,999",Female,65,High School Grad/GED or equivalent,1
76891,"75,000 to 99,999",Female,20,High School Grad/GED or equivalent,7
76892,"20,000 to 24,999",Male,62,9th-11th Grade,6
76893,"25,000 to 34,999",Female,60,High School Grad/GED or equivalent,1
76894,"45,000 to 54,999",Female,18,High School Grad/GED or equivalent,2
76898,"45,000 to 54,999",Male,19,Some College or AA degree,3
76899,"55,000 to 64,999",Male,60,College Graduate or above,4
76900,"20,000 to 24,999",Female,25,<9th Grade,5
76901,"55,000 to 64,999",Female,52,Some College or AA degree,6
76902,"100,000 and Over",Male,56,Some College or AA degree,4
76903,"20,000 to 24,999",Male,34,High School Grad/GED or equivalent,4
76905," 5,000 to  9,999",Female,33,High School Grad/GED or equivalent,4
76907,"45,000 to 54,999",Male,32,<9th Grade,3
76908,"20,000 and Over",Female,22,Some College or AA degree,3
76909,"100,000 and Over",Female,18,Some College or AA degree,5
76911,"15,000 to 19,999",Female,56,9th-11th Grade,2
76912,"15,000 to 19,999",Male,74,<9th Grade,2
76914,,Female,34,,7
76915,"100,000 and Over",Male,63,Some College or AA degree,2
76917,"15,000 to 19,999",Male,80,Some College or AA degree,2
76919,"75,000 to 99,999",Male,37,,3
76920,"15,000 to 19,999",Female,23,Some College or AA degree,3
76921,"10,000 to 14,999",Male,64,<9th Grade,6
76923,"100,000 and Over",Male,33,College Graduate or above,5
76924,"15,000 to 19,999",Male,19,Some College or AA degree,6
76925," 5,000 to  9,999",Female,58,9th-11th Grade,2
76928,"100,000 and Over",Male,57,Some College or AA degree,2
76929,"100,000 and Over",Male,19,High School Grad/GED or equivalent,5
76931,"15,000 to 19,999",Male,80,Some College or AA degree,2
76932,"25,000 to 34,999",Male,73,High School Grad/GED or equivalent,2
76934,"100,000 and Over",Male,41,College Graduate or above,5
76935,"65,000 to 74,999",Male,43,High School Grad/GED or equivalent,2
76937,"55,000 to 64,999",Male,39,College Graduate or above,2
76940,"100,000 and Over",Male,21,,5
76941,"25,000 to 34,999",Female,78,High School Grad/GED or equivalent,2
76942,"25,000 to 34,999",Female,39,,5
76944," 5,000 to  9,999",Male,64,<9th Grade,2
76945,"15,000 to 19,999",Female,53,9th-11th Grade,3
76947,,Male,35,,6
76950,"100,000 and Over",Female,36,College Graduate or above,5
76951,"20,000 to 24,999",Female,80,<9th Grade,1
76953,"100,000 and Over",Male,41,College Graduate or above,2
76954,"15,000 to 19,999",Male,48,Some College or AA degree,1
76955,"55,000 to 64,999",Male,38,Some College or AA degree,6
76958,"75,000 to 99,999",Female,57,Some College or AA degree,6
76960,"10,000 to 14,999",Male,59,High School Grad/GED or equivalent,2
76961,"45,000 to 54,999",Male,18,High School Grad/GED or equivalent,5
76963,"100,000 and Over",Male,39,College Graduate or above,3
76965,"100,000 and Over",Male,35,Some College or AA degree,3
76966,"100,000 and Over",Female,48,High School Grad/GED or equivalent,3
76968,"25,000 to 34,999",Male,34,9th-11th Grade,6
76969,"55,000 to 64,999",Male,52,Some College or AA degree,2
76970,"55,000 to 64,999",Female,19,College Graduate or above,5
76972,"45,000 to 54,999",Male,57,High School Grad/GED or equivalent,5
76973,"100,000 and Over",Female,65,College Graduate or above,1
76974,"55,000 to 64,999",Female,38,College Graduate or above,1
76975,Refused,Male,53,9th-11th Grade,4
76977,"20,000 and Over",Male,69,High School Grad/GED or equivalent,2
76978,"20,000 and Over",Female,18,9th-11th Grade,4
76979,"45,000 to 54,999",Female,23,High School Grad/GED or equivalent,6
76984,"20,000 to 24,999",Male,43,Some College or AA degree,2
76985,"100,000 and Over",Female,80,College Graduate or above,2
76987,"15,000 to 19,999",Female,33,High School Grad/GED or equivalent,6
76988,"75,000 to 99,999",Male,67,College Graduate or above,2
76990,"100,000 and Over",Male,21,High School Grad/GED or equivalent,2
76991,"25,000 to 34,999",Female,80,College Graduate or above,2
76992,"100,000 and Over",Male,67,College Graduate or above,2
76994,"20,000 and Over",Female,31,9th-11th Grade,2
76996,"20,000 and Over",Male,36,9th-11th Grade,5
76997,"45,000 to 54,999",Male,18,Some College or AA degree,6
76999,"100,000 and Over",Male,19,Some College or AA degree,4
77000,"75,000 to 99,999",Female,55,,2
77001,"20,000 to 24,999",Female,40,9th-11th Grade,5
77003,"20,000 and Over",Male,42,<9th Grade,5
77004,"100,000 and Over",Female,80,College Graduate or above,2
77006,"25,000 to 34,999",Female,34,High School Grad/GED or equivalent,3
77007,"35,000 to 44,999",Female,45,Some College or AA degree,4
77008,Refused,Female,55,Some College or AA degree,4
77010,"10,000 to 14,999",Male,44,High School Grad/GED or equivalent,3
77011,"55,000 to 64,999",Female,63,College Graduate or above,1
77012,"100,000 and Over",Male,80,College Graduate or above,2
77013,"100,000 and Over",Male,25,College Graduate or above,5
77014,"45,000 to 54,999",Female,52,College Graduate or above,1
77015,"100,000 and Over",Female,67,College Graduate or above,2
77016,"25,000 to 34,999",Female,20,High School Grad/GED or equivalent,2
77017,"55,000 to 64,999",Male,34,Some College or AA degree,3
77019,"25,000 to 34,999",Female,28,Some College or AA degree,4
77020,"45,000 to 54,999",Male,47,9th-11th Grade,5
77021,"25,000 to 34,999",Male,43,Some College or AA degree,1
77022,"10,000 to 14,999",Male,54,<9th Grade,2
77023,"55,000 to 64,999",Female,65,College Graduate or above,1
77024,"65,000 to 74,999",Male,25,High School Grad/GED or equivalent,4
77025,"55,000 to 64,999",Male,55,<9th Grade,5
77028," 5,000 to  9,999",Male,54,9th-11th Grade,5
77029," 5,000 to  9,999",Male,48,High School Grad/GED or equivalent,1
77030,"15,000 to 19,999",Male,70,High School Grad/GED or equivalent,1
77032,"100,000 and Over",Female,57,College Graduate or above,4
77033,"35,000 to 44,999",Male,21,Some College or AA degree,3
77035,"45,000 to 54,999",Male,64,Some College or AA degree,4
77040,"45,000 to 54,999",Female,80,High School Grad/GED or equivalent,2
77041,"35,000 to 44,999",Male,73,9th-11th Grade,2
77043,"15,000 to 19,999",Female,60,High School Grad/GED or equivalent,3
77045,"15,000 to 19,999",Male,30,High School Grad/GED or equivalent,2
77046,"35,000 to 44,999",Male,62,High School Grad/GED or equivalent,2
77047,"35,000 to 44,999",Male,28,High School Grad/GED or equivalent,1
77049,"45,000 to 54,999",Female,66,9th-11th Grade,3
77050,"10,000 to 14,999",Male,31,Some College or AA degree,4
77051,"10,000 to 14,999",Female,21,High School Grad/GED or equivalent,3
77054,"100,000 and Over",Male,54,College Graduate or above,3
77055,"15,000 to 19,999",Female,45,Some College or AA degree,2
77057,"35,000 to 44,999",Female,80,<9th Grade,2
77060,"20,000 and Over",Female,72,9th-11th Grade,5
77063,"35,000 to 44,999",Female,69,Some College or AA degree,3
77066,,Female,62,<9th Grade,4
77067,"45,000 to 54,999",Female,67,High School Grad/GED or equivalent,2
77070,"25,000 to 34,999",Male,30,Some College or AA degree,4
77072," 5,000 to  9,999",Male,70,Some College or AA degree,1
77073,"10,000 to 14,999",Female,67,Some College or AA degree,1
77074,"35,000 to 44,999",Male,58,High School Grad/GED or equivalent,1
77075,"100,000 and Over",Female,42,College Graduate or above,4
77076,"75,000 to 99,999",Male,35,College Graduate or above,3
77077,"20,000 and Over",Male,50,College Graduate or above,5
77080,"10,000 to 14,999",Female,26,Some College or AA degree,4
77081,"55,000 to 64,999",Male,67,Some College or AA degree,3
77082,"75,000 to 99,999",Female,25,College Graduate or above,2
77083,"45,000 to 54,999",Female,77,College Graduate or above,3
77090,"45,000 to 54,999",Female,43,Some College or AA degree,1
77091,Refused,Female,31,High School Grad/GED or equivalent,5
77094,"55,000 to 64,999",Female,57,College Graduate or above,2
77095,"100,000 and Over",Male,46,Some College or AA degree,2
77096,"10,000 to 14,999",Female,75,<9th Grade,1
77097,"15,000 to 19,999",Male,25,High School Grad/GED or equivalent,3
77098,"100,000 and Over",Male,34,College Graduate or above,2
77100,"65,000 to 74,999",Male,63,9th-11th Grade,3
77101,"75,000 to 99,999",Female,62,College Graduate or above,3
77103,"45,000 to 54,999",Female,53,College Graduate or above,4
77105,"15,000 to 19,999",Male,76,Some College or AA degree,2
77108,"25,000 to 34,999",Male,19,High School Grad/GED or equivalent,5
77109,"35,000 to 44,999",Male,38,9th-11th Grade,6
77111,"15,000 to 19,999",Male,61,9th-11th Grade,3
77112,"25,000 to 34,999",Female,27,9th-11th Grade,4
77113,"100,000 and Over",Female,58,Some College or AA degree,2
77114,"55,000 to 64,999",Female,73,Some College or AA degree,2
77116,"25,000 to 34,999",Male,21,<9th Grade,4
77120,"35,000 to 44,999",Female,56,High School Grad/GED or equivalent,2
77121,"75,000 to 99,999",Female,42,College Graduate or above,1
77123,"45,000 to 54,999",Female,50,Some College or AA degree,2
77126,"25,000 to 34,999",Female,70,,2
77127,,Female,41,9th-11th Grade,7
77128,"75,000 to 99,999",Male,19,Some College or AA degree,4
77131,"100,000 and Over",Female,42,College Graduate or above,3
77132,"100,000 and Over",Male,25,High School Grad/GED or equivalent,7
77136,"25,000 to 34,999",Female,22,Some College or AA degree,2
77139,"10,000 to 14,999",Female,71,9th-11th Grade,1
77140,"35,000 to 44,999",Male,58,Some College or AA degree,1
77141,"25,000 to 34,999",Female,42,Some College or AA degree,5
77142,"Under 20,000",Male,68,High School Grad/GED or equivalent,1
77144,"10,000 to 14,999",Female,27,Some College or AA degree,3
77145,,Male,43,Some College or AA degree,4
77147,"55,000 to 64,999",Male,45,High School Grad/GED or equivalent,4
77150,"100,000 and Over",Male,31,High School Grad/GED or equivalent,6
77151,"15,000 to 19,999",Male,34,College Graduate or above,2
77153,"35,000 to 44,999",Female,29,Some College or AA degree,7
77154,"35,000 to 44,999",Female,58,High School Grad/GED or equivalent,4
77155,"10,000 to 14,999",Male,22,High School Grad/GED or equivalent,7
77156,"45,000 to 54,999",Male,30,College Graduate or above,6
77157,"100,000 and Over",Female,47,College Graduate or above,3
77158,"20,000 to 24,999",Male,20,High School Grad/GED or equivalent,7
77159,"45,000 to 54,999",Female,38,Some College or AA degree,3
77160,"35,000 to 44,999",Male,52,College Graduate or above,4
77161,"75,000 to 99,999",Female,28,,2
77162,"10,000 to 14,999",Female,72,9th-11th Grade,1
77163,"35,000 to 44,999",Female,66,9th-11th Grade,6
77164,"20,000 to 24,999",Female,56,High School Grad/GED or equivalent,7
77167," 5,000 to  9,999",Female,40,<9th Grade,2
77168,"45,000 to 54,999",Female,80,Some College or AA degree,1
77170,"75,000 to 99,999",Female,58,Some College or AA degree,4
77171,"25,000 to 34,999",Female,69,9th-11th Grade,3
77172,Refused,Male,42,Some College or AA degree,4
77174,"20,000 and Over",Male,22,Some College or AA degree,4
77176,"75,000 to 99,999",Female,41,9th-11th Grade,7
77177,"75,000 to 99,999",Male,48,High School Grad/GED or equivalent,2
77178,"20,000 to 24,999",Female,80,High School Grad/GED or equivalent,2
77179,"45,000 to 54,999",Female,67,9th-11th Grade,7
77185,"100,000 and Over",Female,51,College Graduate or above,3
77187,"35,000 to 44,999",Female,80,9th-11th Grade,1
77189," 5,000 to  9,999",Female,56,High School Grad/GED or equivalent,1
77191," 5,000 to  9,999",Female,80,Don't know,1
77192,"35,000 to 44,999",Male,57,Some College or AA degree,5
77194,"10,000 to 14,999",Male,60,High School Grad/GED or equivalent,2
77195,"45,000 to 54,999",Female,47,College Graduate or above,4
77196,"55,000 to 64,999",Male,41,Some College or AA degree,7
77197,"20,000 and Over",Female,47,Some College or AA degree,4
77198,"10,000 to 14,999",Female,70,<9th Grade,2
77199," 5,000 to  9,999",Female,54,<9th Grade,2
77200,"20,000 to 24,999",Female,68,High School Grad/GED or equivalent,1
77205,"75,000 to 99,999",Female,57,College Graduate or above,2
77206,"75,000 to 99,999",Female,20,High School Grad/GED or equivalent,4
77208,"45,000 to 54,999",Male,18,College Graduate or above,5
77209,"15,000 to 19,999",Female,24,Some College or AA degree,3
77211," 5,000 to  9,999",Male,73,College Graduate or above,1
77212,"25,000 to 34,999",Male,80,Some College or AA degree,2
